Date,STI.Index
1999-09-21,17.46
1999-09-22,18.35
1999-09-23,17.89
1999-09-24,19.01
1999-09-27,18.92
1999-09-28,21.28
1999-09-29,20.77
1999-09-30,20.34
1999-10-01,20.99
1999-10-04,20.55
1999-10-05,20.43
1999-10-06,21.3
1999-10-07,20.96
1999-10-08,20.59
1999-10-11,20.42
1999-10-12,20.5
1999-10-13,20.74
1999-10-14,20.54
1999-10-15,21.93
1999-10-18,24.39
1999-10-19,24.56
1999-10-20,24.58
1999-10-21,24.57
1999-10-22,24.54
1999-10-25,24.57
1999-10-26,24.3
1999-10-27,23.89
1999-10-28,23.25
1999-10-29,24.37
1999-11-01,24.36
1999-11-02,23.76
1999-11-03,24.57
1999-11-04,23.53
1999-11-05,22.98
1999-11-09,22
1999-11-10,21.91
1999-11-11,22.02
1999-11-12,21.52
1999-11-15,21.54
1999-11-16,21.44
1999-11-17,20.6
1999-11-18,20.62
1999-11-19,20.58
1999-11-22,20.52
1999-11-23,20.41
1999-11-24,20.31
1999-11-25,20.28
1999-11-26,18.55
1999-11-29,14.44
1999-11-30,13.65
1999-12-01,12.63
1999-12-02,12.55
1999-12-03,12.65
1999-12-06,12.96
1999-12-07,14.12
1999-12-08,14.26
1999-12-09,14.37
1999-12-10,13.54
1999-12-13,13.51
1999-12-14,12.91
1999-12-15,13.54
1999-12-16,13.68
1999-12-17,15.34
1999-12-20,15.24
1999-12-21,15.99
1999-12-22,15.89
1999-12-23,16.22
1999-12-24,16.33
1999-12-27,16.33
1999-12-28,16.47
1999-12-29,16.35
1999-12-30,16.4
2000-01-03,18.23
2000-01-04,20
2000-01-05,25.42
2000-01-06,25.57
2000-01-07,25.9
2000-01-10,25.66
2000-01-11,25.7
2000-01-12,25.64
2000-01-13,26.09
2000-01-14,26.06
2000-01-17,26.71
2000-01-18,25.98
2000-01-19,26.39
2000-01-20,27.7
2000-01-21,28.26
2000-01-24,28.39
2000-01-25,28.34
2000-01-26,28.11
2000-01-27,28.64
2000-01-28,27.4
2000-01-31,27.82
