Date,SGD3M.BGN.Curncy,SDO3M.BGN.Curncy,USDSGDV3M.BGN.Curncy,MASB10Y.BGN.Index,MASB2Y.BGN.Index,USGG10YR.BGN.Index,STI.Index,BCOM.Index,XAU.BGN.Curncy,COA.Comdty,CLA.Comdty,CL1.Comdty,DXY.Curncy,VIX.Index,SPX.Index,FEDL01.Index,SORACA3M.Index,SIMSM2.Index,SIMSM3A.Index,USGG5YR.Index,USGG3M.Index,SNEER.Index,USBMMY3M.Index,MASB3M.Index
1990-01-01,,,,,,,,,,,,,,,,7.97,,,,,,,,
1990-01-02,-81.01,,,,,7.93,,94.2766,399,,,22.89,94.25,17.24,359.69,8.54,,,,7.847,7.809,,,
1990-01-03,-7,,,,,7.974,,95.5969,395,,,23.68,94.45,18.19,358.76,8.37,,,,7.911,7.861,,,
1990-01-04,-195.35,,,,,7.972,,94.8401,396.5,,,23.41,92.54,19.22,355.67,8.29,,,,7.9,7.828,,,
1990-01-05,17,,,,,7.984,,94.0473,405,,,23.08,93.06,20.11,352.2,8.2,,,,7.896,7.781,,,
1990-01-08,-209.01,,,,,8.012,,92.5591,404.6,,,21.62,92.05,20.26,353.79,8.27,,,,7.907,7.748,,,
1990-01-09,-29,,,,,8.009,,92.9046,403.45,,,22.07,92.36,22.2,349.62,8.25,,,,7.903,7.789,,,
1990-01-10,-95.01,,,,,8.014,,94.1429,409.1,,,22.9,92.5,22.44,347.31,8.12,,,,7.907,7.746,,,
1990-01-11,-72,,,,,8.044,,94.8228,412.1,,,23.14,92.44,20.05,348.53,8.21,,,,7.949,7.797,,,
1990-01-12,-111.37,,,,,8.096,,94.2783,416.25,,,23.13,92.56,24.64,339.93,8.16,,,,7.983,7.716,,,
1990-01-15,-93,,,,,8.113,,93.258,415.6,,,22.36,92.95,26.34,337,8.16,,,,7.995,7.716,,,
1990-01-16,-45,,,,,8.196,,92.9647,412.75,,,22.78,92.87,24.18,340.75,8.31,,,,8.106,7.862,,,
1990-01-17,-99,,,,,8.191,,92.4892,410.4,,,22.1,92.77,24.16,337.4,8.26,,,,8.095,7.935,,,
1990-01-18,-49,,,,,8.303,,92.5756,413.4,,,22.76,93.78,24.34,338.19,8.23,,,,8.233,8.039,,,
1990-01-19,-158,,,,,8.232,,92.7901,408.65,,,23.67,93.76,22.5,339.15,8.19,,,,8.164,7.981,,,
1990-01-22,-16.99,,,,,8.27,,92.3236,406,,,22.55,94.36,26.7,330.38,8.19,,,,8.164,7.969,,,
1990-01-23,-27.01,,,,,8.349,,92.1362,408.25,,,21.6,93.05,24.72,331.61,8.19,,,,8.254,7.948,,,
1990-01-24,-90.18,,,,,8.366,,91.9569,420.75,,,21.59,92.87,25.39,330.26,8.4,,,,8.269,7.914,,,
1990-01-25,-28.65,,,,,8.413,,92.4413,415.65,,,22.24,92.57,25.63,326.08,8.24,,,,8.305,7.934,,,
1990-01-26,-75,,,,,8.464,,92.8145,418,,,22.56,92.53,26.28,325.8,8.24,,,,8.348,7.939,,,
1990-01-29,-40,,,,,8.535,,93.0373,418.75,,,22.8,91.99,26.44,325.2,8.24,,,,8.431,7.99,,,
1990-01-30,-92,,,,,8.501,,92.3978,418.15,,,22.46,92.91,27.25,322.98,8.23,,,,8.388,8.011,,,
1990-01-31,15,,,,,8.418,,92.5128,415.05,,,22.68,92.55,25.36,329.08,8.26,,57303.5,76609,8.318,8.009,,,
1990-02-01,20,,,,,8.413,,92.5849,415.8,,,22.7,92.18,24.87,328.79,8.25,,,,8.333,8.018,,,
1990-02-02,45,,,,,8.494,,93.3383,417.95,,,23.02,92.44,24.32,330.92,8.23,,,,8.409,8.055,,,
1990-02-05,-35,,,,,8.519,,92.6471,423,,,22.39,91.49,24.54,331.85,8.22,,,,8.421,8.063,,,
1990-02-06,-108,,,,,8.58,,92.6793,421.05,,,22.51,91.45,24.69,329.66,8.19,,,,8.484,8.064,,,
1990-02-07,11,,,,,8.536,,92.7112,423.75,,,22.32,91.68,24.29,333.75,8.22,,,,8.441,8.062,,,
1990-02-08,30,,,,,8.429,,92.5121,418,,,22.09,91.92,23.77,332.96,8.21,,,,8.378,8.071,,,
1990-02-09,-15,,,,,8.29,,92.4499,415.5,,,21.74,91.94,23.69,333.62,8.21,,,,8.261,8.013,,,
1990-02-12,-50,,,,,8.385,,93.0139,418.85,,,22.03,92.11,24.38,330.08,8.21,,,,8.348,7.958,,,
1990-02-13,-20,,,,,8.32,,93.2409,418.05,,,21.9,92.21,23.76,331.02,8.21,,,,8.277,7.789,,,
1990-02-14,-64,,,,,8.373,,93.5918,414.6,,,22.07,92.25,22.05,332.01,8.21,,,,8.332,7.872,,,
