Date,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity
1995-01-03,6869.7513,9356.5447,8023.3405
1995-01-04,6804.325,9441.6042,8096.28
1995-01-05,6869.7513,9441.6042,8096.28
1995-01-06,6804.325,9526.6637,8023.3405
1995-01-09,6738.8988,9441.6042,8023.3405
1995-01-10,6673.4726,9356.5447,8023.3405
1995-01-11,6738.8988,9356.5447,8023.3405
1995-01-12,6542.6202,9271.4852,7731.5827
1995-01-13,6608.0464,9186.4257,7804.5221
1995-01-16,6673.4726,9101.3662,7877.4616
1995-01-17,6673.4726,9101.3662,7877.4616
1995-01-18,6608.0464,8931.2472,7877.4616
1995-01-19,6542.6202,8846.1877,7804.5221
1995-01-20,6411.7678,8505.9497,7585.7038
1995-01-23,6280.9154,8378.3605,7366.8854
1995-01-24,6248.2023,8420.8902,7366.8854
1995-01-25,6346.3416,8505.9497,7439.8248
1995-01-26,6411.7678,8676.0687,7512.7643
1995-01-27,6444.4809,8591.0092,7658.6432
1995-01-30,6444.4809,8676.0687,7731.5827
1995-02-02,6542.6202,8761.1282,7950.4011
1995-02-03,6608.0464,8931.2472,7877.4616
1995-02-06,6608.0464,9016.3067,7804.5221
1995-02-07,6477.194,9016.3067,7731.5827
1995-02-08,6477.194,9016.3067,7731.5827
1995-02-09,6608.0464,8931.2472,7804.5221
1995-02-10,6509.9071,8846.1877,7731.5827
1995-02-13,6477.194,8931.2472,7658.6432
1995-02-14,6444.4809,8761.1282,7658.6432
1995-02-15,6477.194,8846.1877,7731.5827
1995-02-16,6509.9071,9016.3067,7877.4616
1995-02-17,6509.9071,8846.1877,7950.4011
1995-02-20,6477.194,8846.1877,7950.4011
1995-02-21,6444.4809,8931.2472,7950.4011
1995-02-22,6444.4809,8846.1877,7877.4616
1995-02-23,6477.194,8846.1877,7877.4616
1995-02-24,6608.0464,8931.2472,7877.4616
1995-02-27,6608.0464,8931.2472,7804.5221
1995-02-28,6542.6202,9016.3067,7877.4616
1995-03-01,6542.6202,9016.3067,7804.5221
1995-03-02,6509.9071,8931.2472,7877.4616
1995-03-06,6509.9071,8931.2472,7877.4616
1995-03-07,6567.2542,9191.7631,7877.4616
1995-03-08,6467.7503,9016.6819,7877.4616
1995-03-09,6567.2542,9191.7631,7877.4616
1995-03-10,6534.0862,9016.6819,7950.4011
1995-03-13,6534.0862,9104.2225,7877.4616
1995-03-14,6467.7503,9104.2225,7877.4616
1995-03-15,6467.7503,9016.6819,7877.4616
1995-03-16,6500.9183,9104.2225,7804.5221
1995-03-17,6534.0862,9104.2225,7877.4616
1995-03-20,6500.9183,9104.2225,7877.4616
1995-03-21,6500.9183,9104.1677,8023.3405
1995-03-22,6467.7503,9016.6819,8096.28
1995-03-23,6500.9183,9104.1677,8096.28
