Date,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity
2002-03-28,1.5514,1.9676,1.8172
2002-04-01,1.52,1.9534,1.7814
2002-04-02,1.541,1.9676,1.7933
2002-04-03,1.5305,1.9676,1.7814
2002-04-04,1.52,1.9676,1.7694
2002-04-05,1.52,1.9676,1.7575
2002-04-08,1.499,1.9676,1.7694
2002-04-09,1.499,1.9676,1.7575
2002-04-10,1.4676,1.8821,1.7096
2002-04-11,1.4676,1.9249,1.7216
2002-04-12,1.4781,1.9676,1.7335
2002-04-15,1.4781,1.9676,1.7575
2002-04-16,1.4676,1.9819,1.7694
2002-04-17,1.4676,1.9676,1.7933
2002-04-18,1.4571,1.9249,1.7455
2002-04-19,1.4466,1.8963,1.7335
2002-04-22,1.4256,1.8678,1.7216
2002-04-23,1.4361,1.8821,1.7455
2002-04-24,1.4361,1.8821,1.7335
2002-04-25,1.4571,1.8678,1.7335
2002-04-26,1.4676,1.8536,1.7216
2002-04-29,1.4361,1.8251,1.7216
2002-04-30,1.4676,1.8536,1.7216
2002-05-02,1.4781,1.8821,1.7455
2002-05-03,1.4676,1.8678,1.7575
2002-05-06,1.4466,1.8678,1.7335
2002-05-07,1.4571,1.8678,1.7335
2002-05-08,1.4571,1.9106,1.7575
2002-05-09,1.4781,1.9106,1.7694
2002-05-10,1.4885,1.9106,1.7814
2002-05-13,1.4885,1.8821,1.7814
2002-05-14,1.499,1.8821,1.7933
2002-05-15,1.5095,1.9106,1.7814
2002-05-16,1.5095,1.8821,1.7694
2002-05-17,1.5305,1.8393,1.7575
2002-05-20,1.541,1.8108,1.7455
2002-05-21,1.5514,1.8251,1.7694
2002-05-22,1.5619,1.8678,1.7694
2002-05-23,1.52,1.8251,1.7575
2002-05-24,1.5305,1.8393,1.7455
2002-05-28,1.52,1.8251,1.7335
2002-05-29,1.5095,1.7965,1.7096
2002-05-30,1.499,1.768,1.7216
2002-05-31,1.4781,1.7252,1.7575
2002-06-03,1.4676,1.7538,1.7335
2002-06-04,1.4466,1.7395,1.6738
2002-06-05,1.4571,1.7395,1.6618
2002-06-06,1.4571,1.7395,1.6618
2002-06-07,1.4466,1.7252,1.6618
2002-06-10,1.4781,1.7252,1.6977
2002-06-11,1.4571,1.7252,1.6857
2002-06-12,1.4361,1.711,1.6977
2002-06-13,1.4466,1.711,1.6738
2002-06-14,1.4256,1.6967,1.614
2002-06-17,1.4152,1.6967,1.602
2002-06-18,1.4152,1.6967,1.602
2002-06-19,1.3523,1.654,1.5781
2002-06-20,1.3732,1.6682,1.5901
2002-06-21,1.3418,1.6254,1.5542
2002-06-24,1.3313,1.5969,1.5303
2002-06-25,1.3313,1.6825,1.5303
2002-06-26,1.2894,1.6397,1.5183
2002-06-27,1.2789,1.6397,1.4944
2002-06-28,1.2871,1.6839,1.5277
2002-07-01,1.2768,1.6839,1.5277
2002-07-02,1.2871,1.6695,1.5277
2002-07-03,1.3079,1.6983,1.5879
2002-07-04,1.339,1.7126,1.6119
2002-07-05,1.3909,1.7558,1.648
2002-07-08,1.3909,1.7558,1.624
2002-07-09,1.3806,1.7846,1.6601
2002-07-10,1.3806,1.799,1.648
2002-07-11,1.3702,1.7702,1.624
2002-07-12,1.3598,1.799,1.624
2002-07-15,1.3598,1.799,1.636
2002-07-16,1.3183,1.7558,1.5999
2002-07-17,1.3287,1.7414,1.6119
2002-07-18,1.3287,1.7126,1.5999
2002-07-19,1.3183,1.6839,1.5758
2002-07-22,1.3183,1.6551,1.5518
2002-07-23,1.3183,1.727,1.5999
2002-07-24,1.2768,1.6695,1.5879
2002-07-25,1.2664,1.6551,1.5879
2002-07-26,1.2352,1.6263,1.5638
2002-07-29,1.256,1.6551,1.5518
2002-07-30,1.256,1.6695,1.5638
2002-07-31,1.2456,1.6407,1.5518
2002-08-01,1.256,1.6407,1.5638
2002-08-02,1.256,1.6407,1.5638
2002-08-05,1.2352,1.6263,1.5398
2002-08-06,1.2249,1.5399,1.5277
2002-08-07,1.256,1.5399,1.5518
2002-08-08,1.2249,1.4968,1.5758
2002-08-12,1.2041,1.5255,1.6119
2002-08-13,1.256,1.5687,1.6841
2002-08-14,1.2664,1.5831,1.6601
2002-08-15,1.2975,1.5543,1.6961
2002-08-16,1.2664,1.5543,1.6961
2002-08-19,1.2975,1.5543,1.7322
2002-08-20,1.2871,1.5399,1.6961
2002-08-21,1.2975,1.5687,1.6721
2002-08-22,1.3079,1.5975,1.6721
2002-08-23,1.2871,1.5975,1.6601
2002-08-26,1.2664,1.5975,1.624
2002-08-27,1.256,1.5831,1.6119
2002-08-28,1.2664,1.5975,1.5999
2002-08-29,1.2352,1.5543,1.5758
2002-08-30,1.2352,1.5543,1.5879
2002-09-02,1.2145,1.5255,1.5638
2002-09-03,1.2249,1.5112,1.5398
2002-09-04,1.2352,1.5399,1.5398
2002-09-05,1.2456,1.5112,1.5518
2002-09-06,1.2456,1.4968,1.5398
2002-09-09,1.2249,1.4968,1.5277
2002-09-10,1.256,1.5112,1.5518
2002-09-11,1.2664,1.4968,1.5518
2002-09-12,1.2352,1.4536,1.5277
2002-09-13,1.256,1.4536,1.5277
2002-09-16,1.2975,1.4968,1.5518
2002-09-17,1.3079,1.4824,1.5518
2002-09-18,1.2768,1.4536,1.5398
2002-09-19,1.2975,1.468,1.5277
2002-09-20,1.2768,1.4536,1.5037
2002-09-23,1.256,1.468,1.5037
2002-09-24,1.2041,1.4248,1.4315
2002-09-25,1.1418,1.3888,1.3713
2002-09-26,1.1626,1.4032,1.4074
2002-09-27,1.1833,1.432,1.4435
2002-09-30,1.4472,1.361,1.4232
2002-10-01,1.4343,1.3751,1.4351
2002-10-02,1.4602,1.3681,1.4112
2002-10-03,1.4602,1.361,1.3873
2002-10-04,1.4989,1.3751,1.4232
2002-10-07,1.5248,1.3822,1.471
2002-10-08,1.5377,1.4035,1.4949
2002-10-09,1.486,1.3964,1.4471
2002-10-10,1.4602,1.3681,1.4351
2002-10-11,1.486,1.4035,1.4351
2002-10-14,1.4989,1.3964,1.471
2002-10-15,1.5765,1.4602,1.5428
2002-10-16,1.6023,1.4744,1.5428
2002-10-17,1.6281,1.5027,1.5786
2002-10-18,1.6281,1.4886,1.5428
2002-10-21,1.6411,1.4744,1.5667
2002-10-22,1.6411,1.4886,1.5667
2002-10-23,1.6023,1.5027,1.5428
2002-10-24,1.6023,1.4744,1.5428
2002-10-25,1.6411,1.4886,1.5906
2002-10-28,1.6669,1.4886,1.6025
2002-10-29,1.5894,1.4744,1.5667
2002-10-30,1.5894,1.4744,1.6025
2002-10-31,1.6023,1.4744,1.6025
2002-11-01,1.5377,1.4177,1.5547
2002-11-05,1.5118,1.446,1.5428
2002-11-06,1.5377,1.4886,1.5428
2002-11-07,1.4989,1.4744,1.5188
2002-11-08,1.4989,1.4744,1.5308
2002-11-11,1.4602,1.4744,1.4949
2002-11-12,1.4731,1.4744,1.5069
2002-11-13,1.4731,1.4744,1.4949
2002-11-14,1.4602,1.4744,1.471
2002-11-15,1.486,1.5027,1.483
2002-11-18,1.4472,1.5169,1.459
2002-11-19,1.4602,1.4602,1.459
2002-11-20,1.4472,1.4106,1.4471
2002-11-21,1.4602,1.446,1.471
2002-11-22,1.4989,1.4744,1.5069
2002-11-25,1.5118,1.4744,1.4949
2002-11-26,1.4602,1.446,1.471
2002-11-27,1.4731,1.4177,1.4471
2002-11-28,1.4602,1.4177,1.4471
2002-11-29,1.4472,1.4177,1.4351
2002-12-02,1.4731,1.4035,1.459
2002-12-03,1.4343,1.3964,1.4527
2002-12-04,1.4085,1.3822,1.4406
2002-12-05,1.4085,1.3681,1.4527
2002-12-09,1.3826,1.3539,1.4043
2002-12-10,1.4472,1.3681,1.4285
2002-12-11,1.486,1.3539,1.4406
2002-12-12,1.5118,1.3751,1.4527
2002-12-13,1.4989,1.361,1.4164
2002-12-16,1.4989,1.3539,1.4164
2002-12-17,1.4472,1.3468,1.4043
2002-12-18,1.4472,1.3397,1.4043
2002-12-19,1.4731,1.3681,1.4285
2002-12-20,1.4214,1.3468,1.3922
2002-12-23,1.4085,1.3397,1.4164
2002-12-24,1.4214,1.3468,1.4164
2002-12-26,1.4085,1.3468,1.4043
2002-12-27,1.4214,1.361,1.4285
2002-12-30,1.4085,1.361,1.4043
2002-12-31,1.4167,1.3499,1.4426
2003-01-02,1.4167,1.3359,1.4181
2003-01-03,1.4296,1.3219,1.3937
2003-01-06,1.378,1.3009,1.3937
