Date,USDSGD.Curncy,EURUSD.Curncy,USDJPY.Curncy,EURJPY.Curncy,EURGBP.Curncy,BCOM.Index,STI.Index,USGG10YR.Index,MASB2Y.Index,MASB5Y.Index,MASB10Y.Index,SDBS10.Curncy,SGD3M.Curncy,SDO3M.Curncy,CTTWBRSG.Index,CTTWBSGD.Index,USDSGDV3M.Curncy,USDSGDV6M.Curncy,USDSGDV1Y.Curncy,EURUSDV3M.Curncy,EURUSDV6M.Curncy,EURUSDV1Y.Curncy,USDJPYV3M.Curncy,USDJPYV6M.Curncy,USDJPYV1Y.Curncy,SDSOAA.Curncy,SDSOAC.Curncy,SIBF1M.Index,SIBF3M.Index,EUR003M.Index,USOSFRA.Curncy,USOSFRC.Curncy,US0001M.Index,US0003M.Index,SIBCSORA.Index,FEDL01.Index,SOFRRATE.Index,US00O.N.Index,EUBS1.Curncy,JYBS1.Curncy,XAUUSD.Curncy,GDBR10.Index,SDSOA5.Curncy,SDSW5.Curncy,SDSOA10.Curncy,SDSW10.Curncy,VIX.Index,VIX3M.Index,V2X.Index,MOVE.Index,DXY.Curncy,DBS.SP.Equity,OCBC.SP.Equity,UOB.SP.Equity,EUXOQQ1.BGN.Curncy,JYBSS12M.Curncy
1995-01-02,1.454,,100.2,,0.7992,,,7.831,,,,,-17.5,,,,,,,,,,,,,,,,,,,,,,,4.94,,,,,383,7.647,,,,,,,,107.8,,,,,,
1995-01-03,1.4537,1.2426,100.67,125.09,0.795,94.7312,,7.875,,,,,-56.5,,,,,,,,,,,,,,,,,,,,5.9375,6.5,,5.98,,,,,379.85,7.668,,,,,14.25,,,108.38,89.11,6.77,3.301,8.488,,
1995-01-04,1.4515,1.2384,101.35,125.51,0.79359,94.395,,7.815,,,,,-44.5,,,,,,,,,,,,,,,,,,,,5.9375,6.5,,6.59,,,,,374.3,7.671,,,,,13.53,,,114.24,89.31,6.705,3.331,8.565,,
1995-01-05,1.4525,1.2421,100.88,125.3,0.79468,95.1169,,7.854,,,,,-74,,,,,,,,,,,,,,,,,,,,5.89844,6.4375,,5.72,,,,,374.75,7.749,,,,,13.5,,,112.27,88.98,6.77,3.331,8.565,,
1995-01-06,1.4535,1.2378,101.37,125.48,0.79883,94.949,,7.858,,,,,-75.5,,,,,,,,,,,,,,,,,,,,5.875,6.4375,,5.52,,,,,371.5,7.691,,,,,13.13,,,109.88,89.61,6.705,3.361,8.488,,
1995-01-09,1.4465,1.2396,100.03,124,0.79258,94.5537,,7.872,,,,,-56.5,,,,,,,,,,,,,,,,,,,,5.875,6.375,,5.52,,,,,373.5,7.718,,,,,13.33,,,108.78,88.41,6.641,3.331,8.488,,
1995-01-10,1.4485,1.2517,100.03,125.21,0.80134,94.553,,7.833,,,,,-77.5,,,,,,,,,,,,,,,,,,,,5.875,6.375,,5.44,,,,,374.8,7.619,,,,,12.52,,,106.87,88.43,6.576,3.301,8.488,,
1995-01-11,1.449,1.2511,100.09,125.22,0.80162,94.7592,,7.783,,,,,-85,,,,,,,,,,,,,,,,,,,,5.875,6.33594,,5.44,,,,,376,7.638,,,,,12.15,,,104.75,88.42,6.641,3.301,8.488,,
1995-01-12,1.4655,1.2557,98.67,123.9,0.79777,95.0366,,7.794,,,,,-155,,,,,,,,,,,,,,,,,,,,5.8125,6.25,,5.5,,,,,381.25,7.588,,,,,12.83,,,101.26,88.1,6.447,3.271,8.18,,
1995-01-13,1.4558,1.2538,98.4,123.37,0.799,94.265,,7.675,,,,,-85.5,,,,,,,,,,,,,,,,,,,,5.8125,6.25,,5.47,,,,,378.95,7.512,,,,,11.1,,,99.58,88.14,6.512,3.241,8.257,,
1995-01-16,1.4455,1.259,98.42,123.91,0.80272,,,7.68,,,,,-75,,,,,,,,,,,,,,,,,,,,5.75,6.1875,,5.47,,,,,377.75,7.527,,,,,11.14,,,99.58,88.02,6.576,3.211,8.334,,
1995-01-17,1.446,1.2563,99.11,124.51,0.80182,96.0447,,7.68,,,,,-80,,,,,,,,,,,,,,,,,,,,5.75,6.1875,,5.69,,,,,380.6,7.566,,,,,11.79,,,105.56,88.3,6.576,3.211,8.334,,
1995-01-18,1.4505,1.2564,99.53,125.05,0.8003,96.4903,,7.698,,,,,-80,,,,,,,,,,,,,,,,,,,,5.875,6.3125,,5.06,,,,,382.4,7.511,,,,,11.57,,,107.67,88.45,6.512,3.151,8.334,,
1995-01-19,1.4475,1.256,99.13,124.51,0.79118,96.4314,,7.741,,,,,-75.5,,,,,,,,,,,,,,,,,,,,6,6.375,,5.44,,,,,383.75,7.515,,,,,11.86,,,106.76,87.54,6.447,3.121,8.257,,
1995-01-20,1.4465,1.2736,99.4,126.6,0.80151,96.6704,,7.807,,,,,-93,,,,,,,,,,,,,,,,,,,,6,6.3125,,5.37,,,,,384.2,7.514,,,,,12.15,,,107.86,87.45,6.318,3.001,8.025,,
1995-01-23,1.446,1.2737,99.8,127.12,0.7993,95.8533,,7.824,,,,,-60,,,,,,,,,,,,,,,,,,,,6,6.3125,,5.47,,,,,381.5,7.591,,,,,12.79,,,106.86,87.38,6.189,2.956,7.794,,
1995-01-24,1.449,1.2716,99.69,126.77,0.79599,96.1693,,7.847,,,,,-67,,,,,,,,,,,,,,,,,,,,6,6.3125,,5.45,,,,,381.75,7.562,,,,,11.94,,,106.74,87.41,6.157,2.971,7.794,,
