Date,SDOON.BGN.Curncy,SDOTN.BGN.Curncy,SDOSN.BGN.Curncy,SDO1W.BGN.Curncy,SDO2W.BGN.Curncy,SDO3W.BGN.Curncy,SDO1M.BGN.Curncy,SDO2M.BGN.Curncy,SDO3M.BGN.Curncy,SDO4M.BGN.Curncy,SDO5M.BGN.Curncy,SDO6M.BGN.Curncy,SDO9M.BGN.Curncy,SDO12M.BGN.Curncy,SDO18M.BGN.Curncy,SDO2Y.BGN.Curncy,SDO3Y.BGN.Curncy,SDO4Y.BGN.Curncy,SDO5Y.BGN.Curncy,SDO7Y.BGN.Curncy,SDO10Y.BGN.Curncy,SIBCSORA.Index,SDSOAA.BGN.Curncy,SDSOAB.BGN.Curncy,SDSOAC.BGN.Curncy,SDSOAF.BGN.Curncy,SDSOAI.BGN.Curncy,SDSOA1.BGN.Curncy,SDSOA1F.BGN.Curncy,SDSOA2.BGN.Curncy,SDSOA3.BGN.Curncy,SDSOA4.BGN.Curncy,SDSOA5.BGN.Curncy,SDSOA7.BGN.Curncy,SDSOA10.BGN.Curncy,SDSOA12.BGN.Curncy,SDSOA15.BGN.Curncy,SDSOA20.BGN.Curncy,SDSOA30.BGN.Curncy,SOFRRATE.Index,USOSFR1Z.BGN.Curncy,USOSFR2Z.BGN.Curncy,USOSFR3Z.BGN.Curncy,USOSFRA.BGN.Curncy,USOSFRB.BGN.Curncy,USOSFRC.BGN.Curncy,USOSFRD.BGN.Curncy,USOSFRE.BGN.Curncy,USOSFRF.BGN.Curncy,USOSFRG.BGN.Curncy,USOSFRH.BGN.Curncy,USOSFRI.BGN.Curncy,USOSFRJ.BGN.Curncy,USOSFRK.BGN.Curncy,USOSFR1.BGN.Curncy,USOSFR1F.BGN.Curncy,USOSFR2.BGN.Curncy,USOSFR3.BGN.Curncy,USOSFR4.BGN.Curncy,USOSFR5.BGN.Curncy,USOSFR6.BGN.Curncy,USOSFR7.BGN.Curncy,USOSFR8.BGN.Curncy,USOSFR9.BGN.Curncy,USOSFR10.BGN.Curncy,USOSFR12.BGN.Curncy,USOSFR15.BGN.Curncy,USOSFR20.BGN.Curncy,USOSFR25.BGN.Curncy,USOSFR30.BGN.Curncy,USOSFR40.BGN.Curncy,USOSFR50.BGN.Curncy,SIBF1M.Index,SIBF3M.Index,SIBF6M.Index,SIBF12M.Index,SDSW2.BLC.Curncy,SDSW3.BLC.Curncy,SDSW4.BLC.Curncy,SDSW5.BLC.Curncy,SDSW7.BLC.Curncy,SDSW10.BLC.Curncy,US0001M.Index,US0003M.Index,US0006M.Index,US0012M.Index,USSWAP2.CMPN.Curncy,USSWAP3.CMPN.Curncy,USSWAP5.CMPN.Curncy,USSWAP7.CMPN.Curncy,USSWAP10.CMPN.Curncy,USSWAP12.CMPN.Curncy,USSWAP15.CMPN.Curncy,USSWAP20.CMPN.Curncy,USSWAP25.CMPN.Curncy,USSWAP30.CMPN.Curncy,FEDL01.Index,USDSGD.Curncy,SDSF61Y.BGN.Curncy,SDSF62Y.BGN.Curncy,SDSF63Y.BGN.Curncy,SDSF64Y.BGN.Curncy,SDSF65Y.BGN.Curncy,SDSF67Y.BGN.Curncy,SDSF610Y.BGN.Curncy,SGDSSS2.BLC.Curncy,SGDSSS3.BLC.Curncy,SGDSSS4.BLC.Curncy,SGDSSS5.BLC.Curncy,SGDSSS7.BLC.Curncy,SGDSSS10.BLC.Curncy,SDBS1.BGN.Curncy,SDBS2.BGN.Curncy,SDBS3.BGN.Curncy,SDBS4.BGN.Curncy,SDBS5.BGN.Curncy,DXY.Index,VIX.Index,USDSGDV1M.Curncy,USDSGDV3M.Curncy,USDSGDV6M.Curncy,USDSGDV1Y.Curncy,USDSGD25R1M.Curncy,USDSGD25R3M.Curncy,USDSGD25R6M.Curncy,USDSGD25R1Y.Curncy,USDSG105R1M.Curncy,USDSGD10R3M.Curncy,USDSGD10R6M.Curncy,USDSGD10R1Y.Curncy,USDSGD25B1M.Curncy,USDSGD25B3M.Curncy,USDSGD25B6M.Curncy,USDSGD25B1Y.Curncy,USDSG105B1M.Curncy,USDSGD10B3M.Curncy,USDSGD10B6M.Curncy,USDSGD10B1Y.Curncy
2000-01-03,-1.95,-2,,-13.5,,,-49.5,-89.5,-131.5,,,-250,-360,-465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.5,2.75,3.125,,,,,,,,,,,6.92,7.04,7.17,7.25,7.36,,7.46,7.47,,7.44,5.43,1.656,,,,,,,,,,,,,,,,,,,100.22,24.21,,,,,,,,,,,,,,,,,,,,
2000-01-04,-2.1,-2.05,,-14.13,,,-53,-94.5,-140,,,-256.5,-375.5,-487.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.125,2.44792,2.875,3.125,,,,,,,5.81,6.0425,6.20875,6.6,6.855,6.98,7.09,7.19,7.285,,7.4,7.41,,7.4,5.38,1.656,,,,,,,,,,,,,,,,,,,100.41,27.01,,,,,,,,,,,,,,,,,,,,
2000-01-05,-2.05,-2.25,,-13.75,,,-53,-95.5,-139,,,-252.5,-370,-480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.42708,2.82292,3.125,,,,,,,5.7925,6.03,6.19375,6.57125,6.91,7.03,7.16,7.25,7.37,,7.47,7.48,,7.46,5.41,1.6573,,,,,,,,,,,,,,,,,,,100.38,26.41,,,,,,,,,,,,,,,,,,,,
2000-01-06,-2.3,-6.15,,-15,,,-50,-90.5,-134.5,,,-247,-357.5,-470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94792,2.375,2.8125,3.20833,,,,,,,5.79125,6.03,6.19125,6.58,6.86,6.99,7.11,7.2,7.32,,7.43,7.44,,7.43,5.54,1.6645,,,,,,,,,,,,,,,,,,,100.48,25.73,,,,,,,,,,,,,,,,,,,,
2000-01-07,-6.45,-2.23,,-13.75,,,-52,-95.5,-137.5,,,-252,-365,-472.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9375,2.4375,2.84292,3.20833,,,,,,,5.79125,6.03,6.19125,6.58375,6.85,6.96,7.08,7.17,7.27,,7.39,7.41,,7.4,5.61,1.6613,,,,,,,,,,,,,,,,,,,100.72,21.72,,,,,,,,,,,,,,,,,,,,
2000-01-10,-2.05,-2.15,,-13.55,,,-52,-93,-135,,,-249,-364,-467.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0625,2.5,2.875,3.25,,,,,,,5.78125,6.02625,6.18125,6.57375,6.89,7.01,7.12,7.21,7.31,,7.43,7.44,,7.43,5.74,1.6615,,,,,,,,,,,,,,,,,,,100.99,21.71,,,,,,,,,,,,,,,,,,,,
2000-01-11,-2.1,-1.83,,-12.35,,,-49.5,-89,-132.75,,,-246.5,-360,-470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.125,2.5,2.875,3.22917,,,,,,,5.78125,6.03,6.19125,6.59,6.96,7.1,7.23,7.32,7.43,,7.54,7.56,,7.54,5.63,1.669,,,,,,,,,,,,,,,,,,,100.56,22.5,,,,,,,,,,,,,,,,,,,,
2000-01-12,-2.2,-2.05,,-12.5,,,-52,-92,-136,,,-254.5,-367,-475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.125,2.48958,2.875,3.23958,,,,,,,5.78125,6.03938,6.20938,6.62375,6.985,7.13,7.27,7.36,7.46,,7.57,7.58,,7.57,5.59,1.6694,,,,,,,,,,,,,,,,,,,100.62,22.84,,,,,,,,,,,,,,,,,,,,
2000-01-13,-2.4,-8.25,,-13.65,,,-52.5,-97,-139,,,-255.5,-375,-484.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.4375,2.8125,3.19792,,,,,,,5.78125,6.04,6.22,6.6475,6.925,7.06,7.195,7.29,7.4,,7.51,7.52,,7.51,5.58,1.669,,,,,,,,,,,,,,,,,,,101,21.71,,,,,,,,,,,,,,,,,,,,
2000-01-14,-9,-5.05,,-13.75,,,-52,-97.5,-139.5,,,-260.5,-385,-492.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97917,2.39583,2.76042,3.17708,,,,,,,5.7925,6.04,6.22125,6.6475,6.95,7.095,7.23,7.33,7.43,,7.54,7.55,,7.55,5.56,1.6748,,,,,,,,,,,,,,,,,,,101.72,19.66,,,,,,,,,,,,,,,,,,,,
