Date,IDRUSD.Curncy,MYRUSD.Curncy,PHPUSD.Curncy,THBUSD.Curncy,SGDUSD.Curncy,USDIDR.Curncy,USDMYR.Curncy,USDPHP.Curncy,USDTHB.Curncy,USDSGD.Curncy,USDIDRV3M.Curncy,USDMYRV3M.Curncy,USDTHBV3M.Curncy,USDPHPV3M.Curncy,USDVNDV3M.Curncy,IHOFX3M.Curncy,MROI3M.Curncy,TBOI3M.Curncy,PPOI3M.Curncy,VDOI3M.Curncy,USSOC.Curncy,JIIN3M.Curncy,KLIB3M.Curncy,BOTH3M.Curncy,PHINBR3M.Curncy,VNCD3MO.Index,GTIDR10Y.Govt,GTMYR10Y.Govt,GTTHB10Y.Govt,CTPHP10Y.Govt,GGVB10YR.VBMA.Index,USGG10YR.Index,INDON.CDS.USD.SR.5Y.D14.Corp,MALAYS.CDS.USD.SR.5Y.D14.Corp,THAI.CDS.USD.SR.5Y.D14.Corp,PHILIP.CDS.USD.SR.5Y.D14.Corp,VIETNM.CDS.USD.SR.5Y.D14.BEST.Corp,IDGBFNBN.Index,MATPEMTD.Index,TBTVNET..Index,PHDBMTDD.Index,JASXNET..Index,MATPENET.Index,THIVNET..Index,VUPHBNET.Index,VNDXENET.Index,JCI.Index,FBMKLCI.Index,SET.Index,PCOMP.Index,VNINDEX.Index,SPX.Index
2000-01-03,0.14204,0.2632,0.02501,0.02701,0.6039,7040,3.8,39.99,37.02,1.656,23.5,,10.375,11,,0,3,,9.313,,,12.72656,3.2,,10.3125,,,,,,,6.592,,,,,,,,,,,,,0.0585,,,833.89,,2141.77,,1455.22
2000-01-04,0.14035,0.2632,0.02514,0.02686,0.6039,7125,3.8,39.775,37.225,1.656,26,,10.75,12,,0,3,3.255,9.188,,,12.71094,3.2,,9.9375,,,6.314,,,,6.497,,,,,,,,,,5.576,,28.78,2.033,,700.218,832.8,498.46,2153.18,,1399.42
2000-01-05,0.13995,0.2632,0.02491,0.02695,0.6034,7145,3.7999,40.15,37.15,1.6573,,,11,12,,0,3,,9.25,,,12.7,3.2,,9.875,,,6.328,,,,6.594,,,,,,,,,,-1.283,,-13.94,-2.9929,,678.087,815.8,465.85,2074.75,,1402.11
2000-01-06,0.1384,0.2632,0.02466,0.0266,0.6008,7225,3.7995,40.545,37.55,1.6645,,,11.25,12,,0,3,3.075,9.5,,,12.55,3.2,,9.875,,,,,,,6.524,,,,,,,,,,,,-37.94,-2.0167,,688.521,818.43,443.46,2079.11,,1403.45
2000-01-07,0.13956,0.2632,0.02476,0.02683,0.6019,7165,3.7995,40.38,37.265,1.6613,,,11.125,,,0,3,3.625,9.688,,,,3.2,,10.125,,,6.27,,,,6.515,,,,,,,,,,,,-18.44,-0.6759,,,,453.31,2094.29,,1441.47
2000-01-10,0.13937,0.2632,0.02483,0.02684,0.6019,7175,3.8,40.275,37.255,1.6615,,,10.625,12,,0,,3.42,9.5,,,12.625,,,10,,,,,,,6.552,,,,,,,,,,,,3.28,1.9862,,,,459.47,2142.25,,1457.6
2000-01-11,0.13708,0.2632,0.02459,0.02654,0.5992,7295,3.8,40.675,37.675,1.669,,,10.85,11.5,,0,3,3.39,9.375,,,12.6,3.19,,9.9375,,,,,,,6.657,,,,,,,,,,-6.518,,-7.82,-1.2129,,696.003,846.74,452.48,2140.78,,1438.56
2000-01-12,0.13821,0.2632,0.02461,0.02665,0.599,7235,3.7999,40.64,37.55,1.6694,25,,11.75,,,0,3,,9.75,,,12.61719,3.2,,9.9375,,,,,,,6.703,,,,,,,,,,-5.881,,-8.84,-2.0399,,690.164,869.62,459.62,2101.02,,1432.25
2000-01-13,0.1384,0.2632,0.02463,0.0267,0.5992,7225,3.8,40.6,37.45,1.669,,,11.375,11.5,,0,3,,9.625,,,12.60156,3.2,,9.875,,,6.212,,,,6.63,,,,,,,,,,12.703,,-5.33,-2.1144,,691.61,890.6,458.4,2084.5,,1449.68
2000-01-14,0.14039,0.2632,0.02464,0.0267,0.5971,7123,3.7995,40.59,37.455,1.6748,24,,10.725,11.25,,0,,,,,,12.54688,3.2,,9.875,,,6.053,,,,6.679,,,,,,,,,,13.378,,-12.21,1.5546,,690.892,928.24,474.37,2102.1,,1465.15
