Date,IDRUSD.Curncy,MYRUSD.Curncy,PHPUSD.Curncy,THBUSD.Curncy,SGDUSD.Curncy,VNDUSD.Curncy,KHRUSD.Curncy,LAKUSD.Curncy,FXJPEMCS.Index,USDIDR.Curncy,USDMYR.Curncy,USDPHP.Curncy,USDTHB.Curncy,USDSGD.Curncy,USDVND.Curncy,USDKHR.Curncy,USDLAK.Curncy,JASXNET..Index,MATPENET.Index,THIVNET..Index,VUPHBNET.Index,VNDXEMTD.Index,IDGBFNBN.Index,TBTVNET..Index,JASXMTDN.Index,MATPEMTD.Index,THIVMTDN.Index,VUPHMTDN.Index,IDGBFMTD.Index,MAFDMTDD.Index,TBTVMTDD.Index,PHDBMTDD.Index,GTIDR10Y.Govt,GTMYR10Y.Govt,GTTHB10Y.Govt,CTPHP10Y.Govt,GGVB10YR.VBMA.Index,GT10.Govt,INDON.CDS.USD.SR.5Y.D14.Corp,MALAYS.CDS.USD.SR.5Y.D14.Corp,THAI.CDS.USD.SR.5Y.D14.Corp,PHILIP.CDS.USD.SR.5Y.D14.Corp,VIETNM.CDS.USD.SR.5Y.D14.BEST.Corp,ITRX.EXJP.IG.CDSI.S42.5Y.Corp,MXID.Index,MXMY.Index,MXTH.Index,MXPH.Index,MXEF.Index,MXWO.Index,JCI.Index,FBMKLCI.Index,SET.Index,PCOMP.Index,VNINDEX.Index,CSX.Index,LSXC.Index,.IDRF2.F.Index,..MYRYM.Index,.THBF3.F.Index,.PHPF4.F.index,FEDL01.Index,SORACA3M.Index,MAOPRATE.Index,IDBIRATE.Index,IDBIRRPO.Index,BTRR1DAY.Index,PPCBON.Index
2010-01-01,0.106553,0.2929,,0.029994,0.7123,5.413,,0.1178,,9403,3.424,,33.34,1.4038,,,8493.4,,,,,,,,,,,,,,,,,,,,,3.837,,88.361,94.592,173.061,,,,,,,989.47,1168.47,,,,,,,,,,,,,,,,,1.25,
2010-01-04,0.106542,0.2937,0.021799,0.030091,0.7149,5.4239,0.24,0.118,,9346,3.4032,45.938,33.21,1.3988,18437,4169,8474.95,41.686,22.1,-8.44,9.0414,-4.17,,63.02,41.686,22.1,-8.44,9.04,,,63.02,,10.039,4.328,4.22,,,3.817,192.406,91.355,99.387,169.38,,,3683.16,472.04,300.02,588.73,1004.51,1189.39,2575.413,1275.75,732.28,3005.01,517.05,,,-0.1146,0.6165,,,0.12,0.2149,2,6.5,,1.25,
2010-01-05,0.107394,0.2948,0.021755,0.030151,0.7155,5.4232,0.24,0.1178,,9320,3.3874,45.92,33.16,1.3978,18437,4169,8492.35,66.949,39.3,11.35,10.735,-4.31,,103.51,108.635,61.4,2.92,19.78,-4.28,,166.53,,9.989,4.332,4.211,,,3.763,189.068,89.833,98.199,165.791,,,3736.77,476.65,299.33,594.54,1015.26,1192.89,2605.277,1288.24,732.11,3028.46,532.53,,,-0.012,0.612,,,0.12,0.2138,2,6.5,,1.25,
2010-01-06,0.108395,0.2972,0.021803,0.030173,0.7166,5.4115,0.24,0.1178,,9279,3.3845,46.01,33.14,1.3957,18479,4169,8490.35,75.566,-19.8,14.67,8.9553,-3.09,,-8.82,184.2,41.6,17.59,28.73,,,157.71,,9.698,4.31,4.17,,,3.823,183.455,85.453,95.434,165.801,,,3726.76,478.31,301.54,598.55,1021.75,1193.52,2603.297,1293.17,735.73,3039.93,534.46,,,0.4195,0.631,,,0.12,0.2137,2,6.5,,1.25,
2010-01-07,0.107718,0.2967,0.021783,0.03017,0.7152,5.4184,0.24,0.1178,,9235,3.371,45.83,33.145,1.3986,18456,4169,8482.1,32.955,-33.6,32.72,0.3042,-5.72,,3.9,217.156,8,50.31,29.04,148.05,,161.61,,9.567,4.304,4.159,,,3.825,184.281,84.246,96.087,165.92,,,3685.42,477.39,302.1,604.18,1014.42,1192.91,2586.895,1291.42,734.63,3077.78,533.34,,,0.2471,0.6041,,,0.1,0.2129,2,6.5,,1.25,
2010-01-08,0.108501,0.2963,0.021859,0.030205,0.7171,5.4232,0.24,0.1178,,9220,3.376,45.81,33.107,1.3945,18437,4169,8490.65,33.722,-23.7,-15.66,-1.3475,-7.56,17.36,23.12,250.878,-15.7,34.65,27.69,17.36,,184.74,,9.746,4.298,4.052,,,3.832,184.637,83.36,97.155,162.935,,,3724.41,478.01,304.49,603.24,1016.41,1198.26,2614.37,1292.98,738.96,3077.18,520.9,,,0.0815,0.6075,,,0.11,0.2093,2,6.5,,1.25,
2010-01-11,0.109212,0.2999,0.021954,0.030257,0.7207,5.4145,0.24,0.1178,,9153,3.3365,45.58,33.035,1.3875,18467,4169,8485.3,24.325,-21.3,-6.19,1.4332,-6.26,,-56.32,275.203,-37,28.46,29.12,,,128.42,,9.66,4.292,4.002,,,3.82,187.82,81.972,95.557,167.265,,,3750.97,478.32,307.05,604.94,1028.07,1207.22,2632.204,1294.51,746.95,3087.35,515.06,,,0.4699,0.5657,,,0.11,0.2044,2,,,1.25,
2010-01-12,0.109051,0.2996,0.021868,0.030257,0.719,5.413,0.24,0.1179,,9168,3.3425,45.652,32.995,1.3907,18437,4169,8491,58.069,-5.7,-9.51,3.6481,-2.7,,12.61,333.272,-42.7,18.94,32.77,,,141.03,,9.494,4.28,3.847,,,3.713,186.816,85.165,93.119,165.886,,,3797.51,478.27,306.81,605.66,1021.18,1199.34,2659.551,1292.85,745.24,3105.62,498.31,,,0.3674,0.5793,,,0.11,0.2027,2,,,1.25,
2010-01-13,0.109212,0.2989,0.02181,0.03028,0.7198,5.4115,0.24,0.1179,,9178,3.3492,45.85,33.035,1.3893,18472,4169,8491,-12.321,-18.3,-11.81,-3.9591,1.17,,14.55,320.951,-61,7.13,28.81,-1.55,,155.58,,9.499,4.263,3.882,,,3.793,189.152,84.898,97.092,162.88,,,3746.48,476.71,307.33,605.08,1012.09,1201.61,2632.872,1289.51,746.74,3096.7,508.61,,,0.43,0.5833,,,0.11,0.201,2,,,1.25,
2010-01-14,0.109159,0.2999,0.021872,0.030441,0.7207,5.413,0.24,0.1179,,9168,3.339,45.75,32.865,1.3876,18472,4169,8490,-6.226,-8.5,30.76,-14.3787,1.53,,-0.16,314.725,-69.5,37.89,14.43,,,155.42,,9.486,4.261,3.921,,,3.74,190.452,84.865,98.644,169.249,,,3761.25,478.46,308.33,609.8,1013.29,1207.98,2645.181,1294.71,749.42,3121.91,512.33,,,0.4374,0.5434,,,0.11,0.1997,2,6.5,,1.25,
