Date,USDJPY.Curncy,JPYI3M.Curncy,JPYI12M.Curncy,JPYI5Y.Curncy,JPYI10Y.Curncy,JPYI30Y.Curncy,JPY3M.Curncy,JPY12M.Curncy,JPY5Y.Curncy,JPY10Y.Curncy,JPY30Y.Curncy,JYSOC.Curncy,JYSO1.Curncy,JYSO5.Curncy,JYSO10.Curncy,JYSO30.Curncy,I01803M.Index,I01801Y.Index,I01805Y.Index,I01810Y.Index,I01830Y.Index,USOSFRC.Curncy,USOSFR1.Curncy,USOSFR5.Curncy,USOSFR10.Curncy,USOSFR30.Curncy,I02503M.Index,I02501Y.Index,I02505Y.Index,I02510Y.Index,I02530Y.Index,USDCHF.Curncy,CHFI3M.Curncy,CHFI12M.Curncy,CHFI5Y.Curncy,CHFI10Y.Curncy,CHF3M.Curncy,CHF12M.Curncy,CHF5Y.Curncy,CHF10Y.Curncy,SFSNTC.Curncy,SFSNT1.Curncy,SFSNT5.Curncy,SFSNT10.Curncy,I08203M.Index,I08201Y.Index,I08205Y.Index,I08210Y.Index,USDCNH.Curncy,USDCNY.Curncy,CNHI3M.Curncy,CNHI12M.Curncy,CNHI5Y.Curncy,CNHI10Y.Curncy,CNH3M.Curncy,CNH12M.Curncy,CNH5Y.Curncy,CNH10Y.Curncy,CCSWNIC.Curncy,CCSWNI1.Curncy,CCSWNI5.Curncy,CCSWNI10.Curncy,I29903M.Index,I29901Y.Index,I29905Y.Index,I29910Y.Index,AUDUSD.Curncy,AUDI3M.Curncy,AUDI12M.Curncy,AUDI5Y.Curncy,AUDI10Y.Curncy,AUD3M.Curncy,AUD12M.Curncy,AUD5Y.Curncy,AUD10Y.Curncy,ADSOC.Curncy,ADSO1.Curncy,ADSO5.Curncy,ADSO10.Curncy,I00103M.Index,I00101Y.Index,I00105Y.Index,I00110Y.Index,USDSGD.Curncy,SGDI3M.BGN.Curncy,SGDI12M.BGN.Curncy,SGDI5Y.BGN.Curncy,SGDI10Y.BGN.Curncy,SGD3M.BGN.Curncy,SGD12M.BGN.Curncy,SGD5Y.BGN.Curncy,SGD10Y.BGN.Curncy,SIBF3M.Index,SDSW1.CMPN.Curncy,SDSW5.CMPN.Curncy,SDSW10.CMPN.Curncy,SDSOAC.BGN.Curncy,SDSOA1.BGN.Curncy,SDSOA5.BGN.Curncy,SDSOA10.BGN.Curncy,SDBSC.CMPN.Curncy,SDBS1.CMPN.Curncy,SDBS5.CMPN.Curncy,SDBS10.CMPN.Curncy,SDSF63M.BGN.Curncy,SDSF61Y.BGN.Curncy,SDSF65Y.BGN.Curncy,SDSF610Y.BGN.Curncy,I10703M.Index,I10701Y.Index,I10705Y.Index,I10710Y.Index,EURUSD.Curncy,EURI3M.Curncy,EURI12M.Curncy,EURI5Y.Curncy,EURI10Y.Curncy,EUR3M.Curncy,EUR12M.Curncy,EUR5Y.Curncy,EUR10Y.Curncy,EUR003M.Index,EUSA1.Curncy,EUSA5.Curncy,EUSA10.Curncy,I01603M.Index,I01601Y.Index,I01605Y.Index,I01610Y.Index,GBPUSD.Curncy,GBPI3M.Curncy,GBPI12M.Curncy,GBPI5Y.Curncy,GBPI10Y.Curncy,GBP3M.Curncy,GBP12M.Curncy,GBP5Y.Curncy,GBP10Y.Curncy,BPSWSC.Curncy,BPSWS1.Curncy,BPSWS5.Curncy,BPSWS10.Curncy,I02203M.Index,I02201Y.Index,I02205Y.Index,I02210Y.Index,NZDUSD.Curncy,NZDI3M.Curncy,NZDI12M.Curncy,NZDI5Y.Curncy,NZDI10Y.Curncy,NZD3M.Curncy,NZD12M.Curncy,NZD5Y.Curncy,NZD10Y.Curncy,I09403M.Index,NDSW1.Curncy,NDSW5.Curncy,NDSW10.Curncy,I04903M.Index,I04901Y.Index,I04905Y.Index,I04910Y.Index,USDCAD.Curncy,CADI3M.Curncy,CADI12M.Curncy,CADI5Y.Curncy,CADI10Y.Curncy,CAD3M.Curncy,CAD12M.Curncy,CAD5Y.Curncy,CAD10Y.Curncy,CDSOC.Curncy,CDSO1.Curncy,CDSO5.Curncy,CDSO10.Curncy,I00703M.Index,I00701Y.Index,I00705Y.Index,I00710Y.Index
2000-01-03,101.45,0.1645,0.2564,,,,-147.5,-612.5,,,,,,,,,0.055,0.13,0.915,1.728,2.541,,,,,,5.433,6.115,6.629,6.732,6.767,1.567,1.7966,,,,-164.05,-645.5,-2574,,,,,,1.847,2.203,2.937,3.644,,8.2798,,,,,,,,,,,,,,,,,0.6585,5.6628,6.5379,,,6.75,8.75,,-225.5,,,,,5.09,5.995,6.875,7.193,1.656,3.165,3.745,,,-132.5,-462.5,,,2.5,3.62,4.445,4.94,,,,,,,,,,,,,1.358,1.478,4.049,4.749,1.0243,3.372,3.9314,,,67.5,266.25,1010.5,,3.338,4.015,5.285,5.855,3.338,3.748,4.988,5.569,1.6362,6.0558,,,,1,-19.5,,,,,,,5.352,6.384,6.16,5.321,0.525,5.6641,6.669,,,5.45,1,,,5.704,,,,5.422,6.07,7.305,7.526,1.4468,5.1631,,,,-32.5,-112.5,,,,,,,5.005,5.682,6.433,6.467
2000-01-04,103.22,0.2249,0.3004,,,,-149.5,-622,-2668.5,-4293,,,,,,,0.058,0.148,0.985,1.793,2.606,,,,,,5.452,6.048,6.52,6.634,6.688,1.5573,1.7624,,,,-165.95,-643.5,-2611,-4264,,,,,1.81,2.281,3.028,3.745,,8.2799,,,,,,,,,,,,,,,,,0.655,5.7018,5.6918,,,7.4,8.4,-65,-201,,,,,5.25,6.123,7.067,7.364,1.656,2.92,3.665,,,-139.5,-470,,,2.44792,3.54,4.495,4.95,,,,,,,,,,,,,1.357,1.49,4.104,4.787,1.0296,3.3418,3.9373,,,69.7,266.75,1012.5,,3.343,4.0375,5.305,5.865,3.343,3.805,4.987,5.584,1.636,6.1133,,,,-0.47,-23,138.5,1392,,,,,5.353,6.521,6.318,5.588,0.5194,5.6683,6.6244,,,5.85,3,-207.5,,5.756,6.49,7.945,8.135,5.309,6.054,7.305,7.526,1.4528,5.2319,,,,-31.5,-106.5,,,,,,,5.03,5.684,6.478,6.518
2000-01-05,104.14,0.1485,0.3014,,,,-152.5,-628.5,-2665.5,-4309,,,,,,,0.049,0.142,0.955,1.752,2.579,,,,,,5.43,6.052,6.612,6.739,6.764,1.5486,1.7464,,,,-165.55,-637.5,-2629.5,-4208.5,,,,,1.725,2.26,3.024,3.742,,8.2798,,,,,,,,,,,,,,,,,0.6579,5.6488,6.5407,,,7.59,10.13,-80,-115.5,,,,,5.38,6.085,6.986,7.23,1.6573,2.87,3.655,,,-138,-467.5,,,2.42708,3.575,4.545,4.965,,,,,,,,,,,,,1.626,1.727,4.144,4.818,1.0321,3.332,3.9643,,,69.8,266.75,1032.5,,3.341,4.0425,5.275,5.855,3.341,3.824,5.004,5.609,1.6426,6.1074,,,,-1.19,-28,110,1277,,,,,5.353,6.545,6.378,5.685,0.5202,5.6056,6.6325,,,6.5,3,-204.5,,5.704,6.555,8,8.26,5.463,6.153,7.392,7.6,1.45,5.2393,,,,-30.7,-96.5,,,,,,,4.907,5.718,6.57,6.597
2000-01-06,105.23,0.1763,0.2366,,,,-153.5,-637.5,-2680,-4430,,,,,,,0.106,0.147,0.95,1.737,2.55,,,,,,5.389,6.008,6.544,6.665,6.694,1.5532,1.7467,,,,-165.65,-626.5,-2581,-4245,,,,,1.728,2.274,3.062,3.785,,8.2797,,,,,,,,,,,,,,,,,0.6533,5.641,6.5288,,,7.62,9.25,-90,-200,,,,,5.4,6.106,7.084,7.341,1.6645,2.91,3.695,,,-133,-460,,,2.375,3.66,4.555,4.97,,,,,,,,,,,,,1.672,1.778,4.212,4.904,1.0328,3.3345,3.9573,,,69.5,266,1024,,3.331,4.0375,5.335,5.915,3.331,3.82,5.027,5.64,1.6474,6.1079,,,,-1.43,-25.5,92.5,1332.5,,,,,5.353,6.536,6.407,5.692,0.5146,5.6197,6.6637,,,6.25,1,-208.5,,5.725,6.59,7.975,8.25,5.463,6.217,7.489,7.705,1.4599,5.232,,,,-30.75,-96.5,,,,,,,4.982,5.835,6.504,6.529
2000-01-07,105.34,0.173,0.2616,,,,-153.75,-633.5,-2736.5,-4412.5,,,,,,,0.128,0.163,0.997,1.771,2.58,,,,,,5.389,6.019,6.535,6.655,6.689,1.5646,1.7957,,,,-164.95,-627,-2594,-4222,,,,,1.753,2.312,3.037,3.751,,8.2794,,,,,,,,,,,,,,,,,0.6549,5.6678,6.5286,,,7.41,7.88,,,,,,,5.4,6.122,7.092,7.321,1.6613,,,,,-134.5,-470,,,2.4375,3.65,4.555,4.98,,,,,,,,,,,,,1.652,1.763,4.2,4.894,1.0295,3.3225,3.8881,,,69.88,270.5,1074,,3.322,3.9975,5.285,5.895,3.322,3.773,4.901,5.54,1.6393,6.0936,,,,-0.98,-23,129,1342,,,,,5.353,6.521,6.357,5.634,0.5175,5.6697,6.6609,,,5.65,0.5,-203.5,,5.735,6.575,8.02,8.29,5.391,6.187,7.468,7.69,1.4558,5.1969,,,,-32,-102.5,,,,,,,4.918,5.879,6.495,6.525
2000-01-10,105.16,0.1539,0.2103,,,,-153.75,-639.5,-2697,-4358.5,,,,,,,0.129,0.164,0.999,1.772,2.58,,,,,,5.407,6.066,6.587,6.69,6.729,1.5694,1.7742,,,,-166.15,-634.5,-2606,-4238,,,,,1.78,2.353,3.035,3.724,,8.2794,,,,,,,,,,,,,,,,,0.6561,5.6868,6.6172,,,6.91,4,-100,-210,,,,,5.42,6.166,7.119,7.308,1.6615,,,,,-134.5,-471.5,,,2.5,3.575,4.505,4.92,,,,,,,,,,,,,1.651,1.765,4.193,4.872,1.0256,3.3064,3.8692,,,69.93,273.25,1087.5,,3.317,3.9725,5.165,5.785,3.317,3.766,4.874,5.511,1.6374,6.082,,,,0.75,-20,122.5,1330.5,,,,,5.353,6.502,6.296,5.554,0.5158,5.6369,6.6745,,,6,0.5,-208.5,,5.653,6.615,8,8.29,5.411,6.258,7.474,7.678,1.4558,5.197,,,,-32.2,-103.5,,,,,,,4.975,5.891,6.506,6.536
2000-01-11,105.95,0.1692,0.3186,,,,-154.6,-644.5,-2690,-4427,,,,,,,0.122,0.17,1.003,1.766,2.563,,,,,,5.431,6.124,6.687,6.803,6.805,1.5583,1.7605,,,,-165.65,-640.5,-2631.5,-4241.5,,,,,1.772,2.34,3.075,3.776,,8.2795,,,,,,,,,,,,,,,,,0.6578,5.6914,6.6617,,,6.62,5,-90,-225,,,,,5.44,6.199,7.165,7.384,1.669,2.975,3.745,,,-132.5,-465,,,2.5,3.685,4.605,5.025,,,,,,,,,,,,,1.652,1.773,4.234,4.89,1.0336,3.3243,3.9649,,,70.1,274.13,1080,,3.315,4.015,5.285,5.905,3.315,3.812,5.012,5.641,1.6475,6.1169,,,,-1.02,-19.5,149.5,1469.5,,,,,5.353,6.553,6.372,5.639,0.518,5.623,6.749,,,6.25,0.5,-201.5,,5.658,6.645,8.07,8.335,5.411,6.262,7.497,7.729,1.4571,5.2218,,,,-31.25,-99.5,,,,,,,4.968,5.932,6.568,6.605
2000-01-12,105.79,0.1373,0.3045,,,,-155.45,-645,-2777.5,-4518.5,,,,,,,0.132,0.188,1.052,1.789,2.561,,,,,,5.451,6.146,6.74,6.85,6.856,1.5624,1.739,,,,-167.25,-638.5,-2674.5,-4383,,,,,1.752,2.34,3.06,3.75,,8.2796,,,,,,,,,,,,,,,,,0.6587,5.6827,6.6626,,,6.82,6.5,,-180,,,,,5.47,6.236,7.214,7.431,1.6694,2.975,3.745,,,-133.5,-467.5,,,2.48958,3.675,4.59,5.07,,,,,,,,,,,,,1.651,1.775,4.236,4.903,1.0309,3.3317,3.9838,,,69.98,272.5,1074,,3.322,4.0225,5.3125,5.915,3.322,3.807,5.038,5.648,1.6466,6.128,,,,-0.65,-14.5,214.5,1611.5,,,,,5.353,6.572,6.41,5.683,0.5193,5.6181,6.7663,,,6.45,-2.5,,,5.663,6.665,8.115,8.375,5.411,6.304,7.554,7.761,1.454,5.2354,,,,-31.25,-102.5,,,,,,,4.981,5.93,6.59,6.632
2000-01-13,106.17,0.1555,0.2587,,,,-155.5,-646,-2781.5,-4497,,,,,,,0.121,0.172,1.031,1.84,2.547,,,,,,5.409,6.112,6.659,6.774,6.794,1.5714,1.7712,,,,-166.85,-637.5,-2652,-4407.5,,,,,1.762,2.357,3.065,3.723,,8.2798,,,,,,,,,,,,,,,,,0.6679,5.6464,6.6137,,,6.93,7.5,-85,-175,,,,,5.47,6.22,7.204,7.422,1.669,,,,,-133,-470,,,2.4375,3.62,4.55,5.015,,,,,,,,,,,,,1.652,1.778,4.244,4.906,1.0258,3.3307,3.9632,,,69.55,268.5,1083,,3.322,4.0025,5.2975,5.8825,3.322,3.793,5.015,5.612,1.6472,6.1144,,,,-1.02,-8,219,1584.5,,,,,5.416,6.542,6.348,5.583,0.5234,5.5319,6.6466,,,7.55,4.5,-185.5,,5.627,6.63,8.08,8.33,5.38,6.311,7.54,7.746,1.4507,5.2241,,,,-30.5,-102.5,,,,,,,4.956,5.935,6.524,6.565
2000-01-14,105.87,0.1455,0.2657,,,,-155.38,-644.5,-2720,-4500,,,,,,,0.118,0.163,1,1.824,2.543,,,,,,5.409,6.133,6.71,6.826,6.836,1.5945,1.7943,,,,-168.55,-645.5,-2696,-4441.5,,,,,1.765,2.358,3.034,3.661,,8.2797,,,,,,,,,,,,,,,,,0.6657,5.6632,6.6369,,,6.99,7,-75,,,,,,5.47,6.232,7.194,7.412,1.6748,2.91,3.7,,,-137.5,-477.5,,,2.39583,3.56,4.58,4.995,,,,,,,,,,,,,1.586,1.718,4.222,4.88,1.0122,3.321,3.9258,,,69.5,270.5,1063.5,,3.321,4.005,5.3125,5.9225,3.321,3.776,5.045,5.654,1.6313,6.0924,,,,-0.48,-12,203.5,1612.5,,,,,5.416,6.531,6.361,5.634,0.5213,5.5583,6.6797,,,7.25,3.5,-180.5,,5.663,6.64,8.09,8.285,5.319,6.28,7.509,7.714,1.4499,5.2514,,,,-30.5,-104.5,,,,,,,4.893,5.824,6.575,6.607
