Date,SPX.Index,STI.Index,FBMKLCI.Index,JCI.Index,SET.Index,PCOMP.Index
2000-01-03,1455.22,2608.48,833.89,,,2141.77
2000-01-04,1399.42,2549.01,832.8,700.218,498.46,2153.18
2000-01-05,1402.11,2425.9,815.8,678.087,465.85,2074.75
2000-01-06,1403.45,2409,818.43,688.521,443.46,2079.11
2000-01-07,1441.47,2449.96,,,453.31,2094.29
2000-01-10,1457.6,2457.59,,,459.47,2142.25
2000-01-11,1438.56,2449.74,846.74,696.003,452.48,2140.78
2000-01-12,1432.25,2452.61,869.62,690.164,459.62,2101.02
2000-01-13,1449.68,2412.51,890.6,691.61,458.4,2084.5
2000-01-14,1465.15,2418.57,928.24,690.892,474.37,2102.1
2000-01-17,,2367.16,953.42,703.483,477.09,2097.23
2000-01-18,1455.14,2343.04,949.62,685.716,484.16,2074.84
2000-01-19,1455.9,2286.65,933.38,655.995,486.33,2048.53
2000-01-20,1445.57,2347.34,950.86,670.153,486.64,2053.37
2000-01-21,1441.36,2285.61,953.96,664.694,478.92,2062.66
2000-01-24,1401.53,2256.84,954.5,656.722,477.22,2055.56
2000-01-25,1410.03,2255.12,952.06,649.858,473.22,2047.28
2000-01-26,1404.09,2266.75,940.95,643.385,469.22,1998.59
2000-01-27,1398.56,2303.69,939.59,644.651,474.91,1975.2
2000-01-28,1360.16,2275.89,935.57,634.669,477.45,1969.39
2000-01-31,1394.46,2231.82,922.1,636.372,477.57,1989.43
2000-02-01,1409.28,2240.63,,616.856,474.39,1973.44
2000-02-02,1409.12,2277.48,942.85,603.576,470.62,1975.96
2000-02-03,1424.97,2260.2,957.66,614.31,465.78,1998.13
2000-02-04,1424.37,2270.98,,634.998,470.34,2008.86
2000-02-07,1424.24,,,636.428,471.97,2005.58
2000-02-08,1441.72,2261.31,979.05,629.9,465.94,2034.44
2000-02-09,1411.7,2249.69,991.85,632.451,456.02,2047.27
2000-02-10,1416.83,2236.72,997.59,639.253,453.1,2020.15
2000-02-11,1387.12,2239.15,999.81,635.078,456.12,1997.21
2000-02-14,1389.94,2237.87,998.29,633.715,447.56,1976.74
2000-02-15,1402.05,2209.94,995.52,636.895,430.97,1938.06
2000-02-16,1387.67,2218.66,998.77,621.902,422.83,1894.95
2000-02-17,1388.26,2241.87,1006.82,600.174,405.81,1869.71
2000-02-18,1346.09,2179.75,1013.27,599.573,408.35,1884.28
2000-02-21,,2120.39,1007.13,592.988,,1833.84
2000-02-22,1352.17,2114.11,1000.83,583.42,379.43,1799.83
2000-02-23,1360.69,2142.69,1009.21,584.428,389,1828.93
2000-02-24,1353.43,2127.71,1009.53,573.487,395.1,1794.81
2000-02-25,1333.36,2143.04,1002.62,568.555,406.66,
2000-02-28,1348.05,2130.99,983.77,576.542,388.39,1720.65
2000-02-29,1366.42,2163.75,982.24,,374.32,1641.94
2000-03-01,1379.19,2163.07,969.96,565.478,371.56,1653.95
2000-03-02,1381.76,2147.78,941.82,546.528,391.39,1667.44
2000-03-03,1409.17,2138.95,948.31,548.553,383.13,1696.75
2000-03-06,1391.28,2164.45,940.49,566.71,379.27,1738.3
2000-03-07,1355.62,2158.41,929.44,562.759,380.35,1686.72
2000-03-08,1366.7,2151.39,930.72,570.052,385.56,1639.79
2000-03-09,1401.69,2150.68,922.59,585.18,393.23,1626.95
2000-03-10,1395.07,2179.9,948.09,596.182,402.4,1621.62
2000-03-13,1383.62,2126.82,935.83,587.576,390.15,1602.96
2000-03-14,1359.15,2134.63,932.05,585.921,400.37,1633.33
2000-03-15,1392.15,2103.15,920.49,586.869,386.2,1638.6
2000-03-16,1458.47,,,,395.83,1629.97
2000-03-17,1464.47,2162.86,934.78,590.852,399.74,1646.28
2000-03-20,1456.63,2157.2,928.71,584.876,400.99,1657.07
2000-03-21,1493.87,2182.56,939.5,578.965,398.26,1651.4
2000-03-22,1500.64,2194.54,949.11,586.865,395.15,1646.91
2000-03-23,1527.35,2190.31,971.19,586.007,399.03,1680.58
2000-03-24,1527.46,2199.6,970.27,581.473,404.16,1681.71
2000-03-27,1523.86,2262.52,988.37,585.237,408.24,1697.25
2000-03-28,1507.73,2243.78,981.57,588.732,412.44,1701.08
2000-03-29,1508.52,2225.02,985.13,591.679,410.69,1691.14
2000-03-30,1487.92,2152.53,971.48,583.276,399.59,1697.81
2000-03-31,1498.58,2150.24,974.38,,400.32,1681.72
2000-04-03,1505.97,2086.22,965.41,570.901,399.74,1688.32
2000-04-04,1494.73,2066.09,960.63,,392.7,1682.53
2000-04-05,1487.37,2058.89,955.06,564.182,395.33,1691.05
2000-04-06,1501.34,2104.28,,,,1713.24
2000-04-07,1516.35,2146.88,949.85,570.815,403.45,1738.49
