Date,GTJPYII5Y.Govt,GTJPYII10Y.Govt,JPCPIXFF.Index,JNCPIYOY.Index,GJGB40.Index,GJGB30.Index,GJGB10.Index,GJGB5.Index,GJGB2.Index,GJGB1.Index,GJGB3M.Index,TI0003M.Index,JPINGAA5.Index,JPINGAA1.Index,JPINGAA3.Index
2000-01-04,,,,,,2.459,1.738,1.01,0.325,0.16,0.055,0.18786,,,
2000-01-05,,,,,,2.434,1.699,0.975,0.3,0.15,0.043,0.18,,,
2000-01-06,,,,,,2.408,1.685,0.965,0.305,0.15,0.106,0.16929,,,
2000-01-07,,,,,,2.437,1.719,1.015,0.335,0.16,0.127,0.16571,,,
2000-01-11,,,,,,2.422,1.714,1.02,0.355,0.17,0.122,0.16286,,,
2000-01-12,,,,,,2.421,1.738,1.065,0.4,0.185,0.131,0.17071,,,
2000-01-13,,,,,,2.412,1.817,1.04,0.37,0.17,0.12,0.17143,,,
2000-01-14,,,,,,2.407,1.8,1.01,0.345,0.155,0.117,0.16929,,,
2000-01-17,,,,,,2.425,1.8,1.025,0.36,0.165,0.116,0.16857,,,
2000-01-18,,,,,,2.418,1.765,1,0.35,0.16,0.114,0.16786,,,
2000-01-19,,,,,,2.423,1.775,1,0.35,0.16,0.114,0.16571,,,
2000-01-20,,,,,,2.429,1.8,1.025,0.36,0.16,0.119,0.16071,,,
2000-01-21,,,,,,2.377,1.759,1,0.345,0.15,0.107,0.15714,,,
2000-01-24,,,,,,2.272,1.68,0.935,0.32,0.135,0.104,0.15143,,,
2000-01-25,,,,,,2.259,1.633,0.925,0.3,0.12,0.081,0.14286,,,
2000-01-26,,,,,,2.274,1.651,0.915,0.29,0.115,0.078,0.13571,,,
2000-01-27,,,,,,2.28,1.652,0.915,0.29,0.115,0.079,0.13357,,,
2000-01-28,,,,,,2.248,1.68,0.895,0.29,0.115,0.078,0.135,,,
2000-01-31,,,-0.3,-0.9,,2.296,1.735,0.955,0.34,0.13,0.078,0.13429,,,
2000-02-01,,,,,,2.33,1.77,0.99,0.365,0.135,0.073,0.135,,,
