Date,CPI.YOY.Index,CPI.XYOY.Index,CPI.CHNG.Index,PCE.CMOM.Index,PCE.CYOY.Index,SMASCORE.Index,SICPIYOY.Index,SICPIMOM.Index,GDP.CQOQ.Index,SGDPQOQ.Index
1990-01-31,5.2,4.4,1,0.39,3.55018,2.6,3.9,0.6,,
1990-02-28,5.3,4.6,0.4,0.48,3.78902,2.5,3.9,0.2,,
1990-03-31,5.2,4.9,0.5,0.48,3.97787,2.3,3.7,-0.3,4.4,17.5
1990-04-30,4.7,4.8,0.2,0.3,3.93854,2.5,3.7,0.6,,
1990-05-31,4.4,4.8,0.2,0.31,3.94585,2.2,3.2,0.3,,
1990-06-30,4.7,4.9,0.6,0.39,4.07333,2,2.9,0.1,1.5,4.3
1990-07-31,4.8,5,0.5,0.25,4.06804,1.6,2.6,0,,
1990-08-31,5.6,5.5,0.8,0.42,4.35611,1.5,2.9,0.4,,
1990-09-30,6.2,5.5,0.7,0.35,4.35817,1.4,3.6,0.7,0.3,4.6
1990-10-31,6.3,5.3,0.7,0.34,4.33389,2,3.9,0.8,,
1990-11-30,6.3,5.3,0.2,0.12,4.1829,2.6,3.5,0,,
1990-12-31,6.1,5.2,0.4,0.14,4.03196,3.2,3.8,0.5,-3.6,6.5
1991-01-31,5.7,5.6,0.4,0.5,4.14998,3.2,3.3,0.1,,
1991-02-28,5.3,5.6,0.1,0.28,3.93321,3.8,4,0.8,,
1991-03-31,4.9,5.2,0,0.21,3.65164,4,3.8,-0.5,-1.9,9.9
1991-04-30,4.9,5.1,0.2,0.2,3.55069,3.8,3.7,0.5,,
1991-05-31,5,5.1,0.4,0.4,3.64634,3.8,3.8,0.3,,
1991-06-30,4.7,5,0.3,0.22,3.46816,3.8,3.9,0.2,3.2,5.8
1991-07-31,4.4,4.8,0.1,0.3,3.52226,4.1,4,0.1,,
1991-08-31,3.8,4.6,0.3,0.27,3.37597,4.3,3.9,0.2,,
1991-09-30,3.4,4.5,0.3,0.4,3.4282,4.3,3.1,-0.1,2,6.7
1991-10-31,2.9,4.4,0.1,0.22,3.30543,3.6,2.4,0,,
1991-11-30,3,4.5,0.4,0.19,3.37328,2.7,2.5,0.2,,
1991-12-31,3.1,4.4,0.3,0.25,3.48437,2.8,2.9,0.8,1.4,3.3
1992-01-31,2.6,3.9,0.1,0.27,3.25129,2.4,2.8,0,,
1992-02-29,2.8,3.8,0.2,0.27,3.24721,1.7,1.8,-0.1,,
1992-03-31,3.2,3.9,0.4,0.25,3.28888,1.6,2.1,-0.2,4.9,7.2
1992-04-30,3.2,3.9,0.2,0.33,3.42088,1.5,2.2,0.6,,
1992-05-31,3,3.8,0.2,0.14,3.15535,1.7,2.4,0.5,,
1992-06-30,3.1,3.8,0.3,0.08,3.01239,1.7,2.2,0,4.4,4.9
1992-07-31,3.2,3.7,0.3,0.38,3.08788,1.8,2.5,0.4,,
1992-08-31,3.1,3.5,0.2,0.09,2.8995,1.3,2.1,-0.2,,
1992-09-30,3,3.3,0.2,0.16,2.65642,1.4,2.2,0.1,4,11.2
