Date,MXWD.Index,ES1.Index,BCOM.Index,CO1.Comdty,HG1.Comdty,VIX.Index,USOSFRF.Curncy,USOSFR1.Curncy,USGG2YR.Index,USGG5YR.Index,USGG10YR.Index,USGG30YR.Index,GDBR10.Index,GJGB10.Index,GCNY10YR.Index,DXY.Index,EURUSD.Curncy,USDJPY.Curncy,SOFRRATE.Index,GCNY2YR.Index,EUSA2.BGN.Curncy,GJGB2.Index,CCSWO2.BGN.Curncy,STI.Index,MXWO.Index,MXEF.Index
2000-01-03,342.16,1466.75,92.0451,,,24.21,,,6.384,6.502,6.592,6.622,5.478,,,100.22,1.0243,101.45,,,4.515,,,2608.48,1422.18,496.22
2000-01-04,332.3,1411.75,91.4952,24.39,84.8,27.01,,,6.299,6.398,6.497,6.537,5.492,1.738,,100.41,1.0296,103.22,,,4.555,0.325,,2549.01,1378.31,500.38
2000-01-05,327.68,1413.5,91.0023,23.73,85.65,26.41,,,6.358,6.483,6.594,6.621,5.516,1.699,,100.38,1.0321,104.14,,,4.535,0.3,,2425.9,1359.54,491.09
2000-01-06,323.97,1404,91.04,23.62,85.3,25.73,,,6.299,6.418,6.524,6.553,5.545,1.685,,100.48,1.0328,105.23,,,4.585,0.305,,2409,1344.06,486.04
2000-01-07,331.45,1459.75,90.7495,23.09,85.4,21.72,,,6.308,6.411,6.515,6.546,5.443,1.719,,100.72,1.0295,105.34,,,4.525,0.335,,2449.96,1375.88,492.1
2000-01-10,335.44,1475,90.99,23.73,84.65,21.71,,,6.359,6.461,6.552,6.584,5.415,,,100.99,1.0256,105.16,,,4.435,,,2457.59,1391.11,506.69
2000-01-11,334.05,1454.25,92.048,24.62,84.35,22.5,,,6.428,6.554,6.657,6.671,5.541,1.714,,100.56,1.0336,105.95,,,4.52,0.355,,2449.74,1386.34,498.12
2000-01-12,332.23,1442,93.1605,24.81,86.6,22.84,,,6.472,6.605,6.703,6.719,5.549,1.738,,100.62,1.0309,105.79,,,4.535,0.4,,2452.61,1377.98,500.59
2000-01-13,335.31,1459,93.7982,24.98,85.65,21.71,,,6.394,6.528,6.63,6.653,5.514,1.817,,101,1.0258,106.17,,,4.5025,0.37,,2412.51,1390.3,508.08
2000-01-14,338.27,1478,95.2123,25.47,86.25,19.66,,,6.43,6.576,6.679,6.697,5.552,1.8,,101.72,1.0122,105.87,,,4.5,0.345,,2418.57,1402.14,515.63
2000-01-17,339.99,,,25.65,,,,,6.43,6.576,6.681,6.689,5.559,1.8,,101.77,1.0122,104.9,,,4.5125,0.36,,2367.16,1408.31,524.38
2000-01-18,336.12,1469.5,96.4478,26.05,86.6,21.5,,,6.465,6.623,6.748,6.747,5.644,1.765,,101.86,1.0137,105.67,,,4.5425,0.35,,2343.04,1391.6,522.65
2000-01-19,334.49,1472.5,97.1845,25.84,88.25,21.72,,,6.448,6.604,6.732,6.717,5.601,1.775,,101.76,1.0133,105.32,,,4.5075,0.35,,2286.65,1386.18,511.54
2000-01-20,333.23,1456.25,97.6501,26.1,87.3,21.75,,,6.492,6.663,6.788,6.747,5.581,1.8,,101.36,1.0168,105.47,,,4.49,0.36,,2347.34,1380.78,510.7
2000-01-21,332.14,1454.25,97.4665,26.35,87.3,20.82,,,6.458,6.632,6.765,6.695,5.584,1.759,,101.81,1.0098,104.78,,,4.5175,0.345,,2285.61,1376.52,507.49
