Date,I10703M.Index,I10706M.Index,I10701Y.Index,I10702Y.Index,I10703Y.Index,I10704Y.Index,I10705Y.Index,I10706Y.Index,I10707Y.Index,I10708Y.Index,I10709Y.Index,I10710Y.Index
1994-12-30,0.7,1.083,1.854,3.239,3.476,3.721,3.972,4.277,4.592,4.578,4.567,4.558
1995-01-03,0.6,0.967,1.703,3.213,3.458,3.711,3.97,4.27,4.579,4.564,4.553,4.544
1995-01-04,0.6,0.933,1.603,3.153,3.412,3.679,3.953,4.243,4.541,4.527,4.516,4.507
1995-01-05,0.73,1.063,1.733,3.211,3.456,3.708,3.966,4.257,4.557,4.543,4.532,4.523
1995-01-06,0.73,1.063,1.733,3.211,3.456,3.708,3.966,4.257,4.557,4.543,4.532,4.523
1995-01-09,0.68,1.013,1.683,3.167,3.423,3.688,3.959,4.255,4.559,4.545,4.534,4.525
1995-01-10,0.8,1.117,1.753,3.153,3.409,3.673,3.944,4.235,4.534,4.52,4.509,4.5
1995-01-11,0.27,0.58,1.202,2.994,3.266,3.545,3.832,4.132,4.442,4.427,4.416,4.407
1995-01-12,0.78,1.06,1.622,3.211,3.434,3.664,3.901,4.222,4.552,4.538,4.526,4.517
1995-01-13,0.78,1.06,1.622,3.211,3.434,3.664,3.901,4.222,4.552,4.538,4.526,4.517
1995-01-16,0.7,0.993,1.582,3.154,3.394,3.642,3.896,4.211,4.534,4.52,4.508,4.499
1995-01-17,0.76,1.05,1.632,3.153,3.397,3.648,3.906,4.206,4.516,4.502,4.491,4.482
1995-01-18,0.6,0.883,1.452,3.11,3.37,3.639,3.915,4.2,4.494,4.48,4.469,4.461
1995-01-19,0.73,1.013,1.582,3.153,3.4,3.654,3.916,4.207,4.507,4.493,4.483,4.474
1995-01-20,0.85,1.1,1.602,3.18,3.419,3.666,3.919,4.223,4.535,4.52,4.509,4.5
1995-01-23,0.83,1.087,1.602,3.179,3.431,3.69,3.957,4.236,4.524,4.51,4.499,4.491
1995-01-24,0.78,1.053,1.602,3.15,3.412,3.682,3.958,4.229,4.509,4.495,4.484,4.476
1995-01-25,0.88,1.12,1.602,3.15,3.444,3.746,4.055,4.262,4.476,4.463,4.454,4.446
1995-01-26,0.83,1.087,1.602,3.12,3.424,3.736,4.057,4.265,4.479,4.467,4.457,4.449
1995-01-27,0.83,1.087,1.602,3.148,3.447,3.754,4.07,4.278,4.493,4.481,4.471,4.463
1995-01-30,0.75,1.033,1.602,3.141,3.442,3.752,4.07,4.277,4.491,4.479,4.469,4.461
1995-02-02,0.75,1.033,1.602,3.141,3.442,3.752,4.07,4.277,4.491,4.479,4.469,4.461
1995-02-03,0.93,1.17,1.652,3.139,3.442,3.754,4.075,4.282,4.496,4.484,4.474,4.466
1995-02-06,1.07,1.28,1.702,3.173,3.468,3.772,4.084,4.294,4.51,4.498,4.489,4.481
1995-02-07,1.05,1.267,1.702,3.16,3.458,3.764,4.077,4.286,4.5,4.488,4.478,4.471
1995-02-08,1,1.187,1.561,3.086,3.401,3.726,4.059,4.272,4.492,4.479,4.469,4.461
1995-02-09,0.78,1.007,1.462,3.04,3.366,3.701,4.045,4.25,4.462,4.45,4.44,4.432
1995-02-10,0.93,1.153,1.602,3.066,3.383,3.709,4.044,4.255,4.472,4.459,4.449,4.441
